position	smiles	name
neg_G11	CCCCCCCCCCCCCCCCO	zzz
neg_H11	O=c1cc[nH]c(=O)[nH]1	zzz
neg_A2	Nc1nc2c(nn[nH]2)c(=O)[nH]1	zzz
neg_B2	NCCS	zzz
neg_C2	CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	zzz
neg_D2	NCCc1c[nH]c2ccc(O)cc12	zzz
neg_E2	CC1(O)CCOC(=O)C1	zzz
neg_F2	CC(C)(CO)C(O)C(=O)NCCC(=O)O	zzz
neg_G2	CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	zzz
neg_H2	Nc1ccc(C(=O)O)cc1	zzz
neg_A3	c1ccc(CNc2ncnc3c2[nH]cn3)cc1	zzz
neg_B3	OC1C(O)C(O)C(O)C(O)C1O	zzz
neg_C3	OCC(O)C(O)C(O)CO	zzz
neg_D3	CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C	zzz
neg_E3	CC(C)(CO)C(O)C(=O)NCCCO	zzz
neg_F3	Oc1ccc(O)cc1	zzz
neg_G3	OCc1ccccc1	zzz
neg_H3	NC(=O)C1CCCN1C(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1	zzz
neg_A4	Cc1c(O)c(C)c2CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)Oc2c1C	zzz
neg_B4	CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C	zzz
neg_C4	CC(C)(CO)C(O)C(=O)NCCCO	zzz
neg_D4	CC1=C(C/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C)C(=O)c2c(cccc2)C1=O	zzz
neg_E4	OCC1OC(O)CC(O)C1O	zzz
neg_F4	CCCCCCCC/C=C\CCCCCCCC(=O)O	zzz
neg_G4	CCCCCCCCCCCCCCCC(=O)NCCO	zzz
neg_H4	O=C(O)c1cc(O)c2ccccc2n1	zzz
neg_A5	CCCCCCCCCCCC(=O)O	zzz
neg_B5	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12	zzz
neg_C5	CC(=O)c1c(O)cc(O)cc1	zzz
neg_D5	O=CC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O	zzz
neg_E5	NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O	zzz
neg_F5	CC12CC(=O)C3C(CCC4=CC(=O)CCC43C)C1CCC2=O	zzz
neg_G5	O=C(O)c1cc(O)c2cccc(O)c2n1	zzz
neg_H5	CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO	zzz
neg_A6	CC(=O)Oc1c2ccccc2c(OC(C)=O)c(C)c1	zzz
neg_B6	NC(=O)c1ccc[n+]([O-])c1	zzz
neg_D6	O=c1c(O)c(-c2ccccc2)oc2c1cccc2	zzz
neg_E6	CC(=O)NC1C(O)CC(O)(C(=O)O)OC1C(O)C(O)CO	zzz
neg_F6	CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4=C3C=CC12C	zzz
neg_G6	Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O	zzz
neg_H6	O=C(O)CCc1c[nH]c2c1cccc2	zzz
neg_A7	OCCc1c[nH]c2c1cccc2	zzz
neg_B7	O=C(O)c1c[nH]c2c1cccc2	zzz
neg_C7	Nc1nc(=O)[nH]cc1	zzz
neg_D7	O=C1OC2C(O)C(O)OC2C1O	zzz
neg_E7	O=C(O)/C=C(/CC(=O)O)C(=O)O	zzz
